youtube_url,title,series,published_date,transcript_file,description_file
https://www.youtube.com/watch?v=cSXOmwI38Jo,"PBJ: The COLDCARD Hack and Future of Self-Custody",PBJ,2026-08-01,transcripts_raw/cSXOmwI38Jo.txt,descriptions/cSXOmwI38Jo.txt
https://www.youtube.com/watch?v=ziJy4PuxBhc,"21 in 21: 0xSero on Local AI, Open Models, and Benchmarking",21 in 21,2026-07-28,transcripts_raw/ziJy4PuxBhc.txt,descriptions/ziJy4PuxBhc.txt
https://www.youtube.com/watch?v=y2z-NATJC10,"PBJ: Bitcoin Security Consortium, Buzz Launches, Wavelength Brings Bitcoin to Any App",PBJ,2026-07-25,transcripts_raw/y2z-NATJC10.txt,descriptions/y2z-NATJC10.txt
https://www.youtube.com/watch?v=Prdk7Mf2X0M,"21 in 21: Bradley Axen on Buzz, goose, and AI at Block",21 in 21,2026-07-24,transcripts_raw/Prdk7Mf2X0M.txt,descriptions/Prdk7Mf2X0M.txt
https://www.youtube.com/watch?v=E1RTjt8uPsw,"21 in 21: Mic Neale on goose, Mesh LLM, and Open Source AI",21 in 21,2026-07-23,transcripts_raw/E1RTjt8uPsw.txt,descriptions/E1RTjt8uPsw.txt
https://www.youtube.com/watch?v=WisO6hoeUb8,"PBJ: Kimi K3 and the Open-Weight Race, AI Treasure Hunting, Bitcoin Falls Further Behind Gold",PBJ,2026-07-18,transcripts_raw/WisO6hoeUb8.txt,descriptions/WisO6hoeUb8.txt
https://www.youtube.com/watch?v=uGv-wH4UYkg,"The Local AI Stack: Models, Hardware, and Privacy | 0xSero at Builder",Builder,2026-07-16,transcripts_raw/uGv-wH4UYkg.txt,descriptions/uGv-wH4UYkg.txt
https://www.youtube.com/watch?v=69uez6D9sTQ,"PBJ: Goose Development Kit, Spiral Expands Into AI, Can Bitcoin Names Scale?",PBJ,2026-07-11,transcripts_raw/69uez6D9sTQ.txt,descriptions/69uez6D9sTQ.txt
https://www.youtube.com/watch?v=m7NGzb8m0nk,Goose Developers on the Future of Open-Source AI Agents,Builder,2026-07-09,transcripts_raw/m7NGzb8m0nk.txt,descriptions/m7NGzb8m0nk.txt
https://www.youtube.com/watch?v=-M_5aSgNqow,"PBJ: New Open USD Stablecoin, Fable 5 is Back, Open Source AI with Goose & Buzz",PBJ,2026-07-04,transcripts_raw/-M_5aSgNqow.txt,descriptions/-M_5aSgNqow.txt
https://www.youtube.com/watch?v=yN6ho-KQfh8,"21 in 21: Patrick Ball on Using Bitcoin and AI to Defend Human Rights",21 in 21,2026-07-02,transcripts_raw/yN6ho-KQfh8.txt,descriptions/yN6ho-KQfh8.txt
https://www.youtube.com/watch?v=A7BStVZbSoU,"PBJ: Announcing PB's Open Source AI Summit, Bitcoin Forks, Local AI Builder Recap",PBJ,2026-06-20,transcripts_raw/A7BStVZbSoU.txt,descriptions/A7BStVZbSoU.txt
https://www.youtube.com/watch?v=f6WH9BbbavM,"PBJ: Anthropic's Fable Drama, Personhood for AI, Bark Launches on Mainnet",PBJ,2026-06-13,transcripts_raw/f6WH9BbbavM.txt,descriptions/f6WH9BbbavM.txt
https://www.youtube.com/watch?v=we7gHhi9xiY,"PBJ: USDC on Cash App, Wand Launch, Surge, and the Zcash Crash",PBJ,2026-06-06,transcripts_raw/we7gHhi9xiY.txt,descriptions/we7gHhi9xiY.txt
https://www.youtube.com/watch?v=qJ2Tk6HoqBA,"PBJ: MSTR/STRC Outlook, Bitcoin's Security Budget & AI, Evaluating the Nation-State Threat",PBJ,2026-05-23,transcripts_raw/qJ2Tk6HoqBA.txt,descriptions/qJ2Tk6HoqBA.txt
https://www.youtube.com/watch?v=kedTRhMgnec,"21 in 21: Calle on Cashu, Clawi, and AI Agents",21 in 21,2026-05-21,transcripts_raw/kedTRhMgnec.txt,descriptions/kedTRhMgnec.txt
https://www.youtube.com/watch?v=lGR7oDDdGJ4,"PBJ: Bitcoin Core v31 Release, Project Loupe Launches, Lightning Network's Future",PBJ,2026-05-16,transcripts_raw/lGR7oDDdGJ4.txt,descriptions/lGR7oDDdGJ4.txt
https://www.youtube.com/watch?v=9JL95zG0rQ0,"PBJ: Saylor to sell bitcoin, Block smashes earnings, Anthropic to overtake Google w xAI",PBJ,2026-05-09,transcripts_raw/9JL95zG0rQ0.txt,descriptions/9JL95zG0rQ0.txt
https://www.youtube.com/watch?v=gebBz3V_8uo,"PBJ: Frontier Models Eating All, SF's AI Dominance, What Happened at Bitcoin Vegas",PBJ,2026-05-02,transcripts_raw/gebBz3V_8uo.txt,descriptions/gebBz3V_8uo.txt
https://www.youtube.com/watch?v=eLYYQbTMmw0,Jameson Lopp and Hunter Beast Discuss Freezing Quantum-Vulnerable Bitcoin | Quantum Bitcoin Summit,QBS,2026-04-20,transcripts_raw/eLYYQbTMmw0.txt,descriptions/eLYYQbTMmw0.txt
https://www.youtube.com/watch?v=V1-KjT3brmQ,21 in 21: Linn Bieske on Hack-Nation and Building Global AI Communities,21 in 21,2026-04-16,transcripts_raw/V1-KjT3brmQ.txt,descriptions/V1-KjT3brmQ.txt
https://www.youtube.com/watch?v=7He8tdQ6gnk,"Presidio Bitcoin's Quantum Readiness Report, Iran Wants Bitcoin, Can Mythos Break Bitcoin?",PBJ,2026-04-15,transcripts_raw/7He8tdQ6gnk.txt,descriptions/7He8tdQ6gnk.txt
https://www.youtube.com/watch?v=ysPxfA2922I,21 in 21: Rainey Reitman on Transaction Denied and Financial Censorship,21 in 21,2026-04-07,transcripts_raw/ysPxfA2922I.txt,descriptions/ysPxfA2922I.txt
https://www.youtube.com/watch?v=FC0y7J9pGCs,"Google's Quantum Warning Overblown?, OpenAI Acquires TBPN, Jack Dorsey Makes Block Mini-AGI",PBJ,2026-04-04,transcripts_raw/FC0y7J9pGCs.txt,descriptions/FC0y7J9pGCs.txt
https://www.youtube.com/watch?v=-NIPr7zX3ss,"Coinbase Mortgages, Privacy for AI and Payments, Lexe Launches",PBJ,2026-03-28,transcripts_raw/-NIPr7zX3ss.txt,descriptions/-NIPr7zX3ss.txt
https://www.youtube.com/watch?v=KZsEVToqXYk,"Bitcoin's Branding Problem, AI's Impact on Open Source, Can Spiral's Playbook Work for AI?",PBJ,2026-03-19,transcripts_raw/KZsEVToqXYk.txt,descriptions/KZsEVToqXYk.txt
https://www.youtube.com/watch?v=PIVWyjihxnA,"21 in 21: Michael Saylor on Bitcoin, AI, and Advice for Builders",21 in 21,2026-03-19,transcripts_raw/PIVWyjihxnA.txt,descriptions/PIVWyjihxnA.txt
https://www.youtube.com/watch?v=9lcCIsy7uxg,"21 in 21: Andi Pitt on Bitcoin Venture, AI, and Cognitive Sovereignty",21 in 21,2026-03-17,transcripts_raw/9lcCIsy7uxg.txt,descriptions/9lcCIsy7uxg.txt
https://www.youtube.com/watch?v=59D_r8qaDu4,"Strategy's STRC Buying Spree, Open-Source AI Blind Spots, Bitcoin Stablecoins from Utexo & Ark",PBJ,2026-03-14,transcripts_raw/59D_r8qaDu4.txt,descriptions/59D_r8qaDu4.txt
https://www.youtube.com/watch?v=xID5cFaXAu0,"Codex vs Claude Vibe Coding, Study Shows AI Agents Prefer Bitcoin, Kazakhstan to Add BTC?",PBJ,2026-03-07,transcripts_raw/xID5cFaXAu0.txt,descriptions/xID5cFaXAu0.txt
https://www.youtube.com/watch?v=NejxiHIBy_w,"Meta Stablecoins Return, Open-Source Agents, OpenClaw Builder Meetup",PBJ,2026-02-28,transcripts_raw/NejxiHIBy_w.txt,descriptions/NejxiHIBy_w.txt
https://www.youtube.com/watch?v=oeJpuHfd8dg,"OpenClaw joins OpenAI, Agent Wallets and Payments, Lightning v Stablecoins for Agentic Commerce",PBJ,2026-02-21,transcripts_raw/oeJpuHfd8dg.txt,descriptions/oeJpuHfd8dg.txt
https://www.youtube.com/watch?v=LFTt5q0THxM,"Non-Custodial Bitcoin Lending with Surge (Yash Belavadi, Michael Borglin) | Built in the Presidio",Built in the Presidio,2026-02-10,transcripts_raw/LFTt5q0THxM.txt,descriptions/LFTt5q0THxM.txt
https://www.youtube.com/watch?v=VdJj0sjKDiY,"Y Combinator's USDC Move, Ori Agent Group Chats, OpenClaw Meetup",PBJ,2026-02-06,transcripts_raw/VdJj0sjKDiY.txt,descriptions/VdJj0sjKDiY.txt
https://www.youtube.com/watch?v=ZQWaYlUGmPk,Presidio Bitcoin Member Spotlight: Fold (Joshua Philippe),Member Spotlight,2026-02-01,transcripts_raw/ZQWaYlUGmPk.txt,descriptions/ZQWaYlUGmPk.txt
https://www.youtube.com/watch?v=0iBG0F98ZN8,"Moltbot is Molting Again, Musk SpaceX and xAI Merger, Is Crypto Dying",PBJ,2026-01-30,transcripts_raw/0iBG0F98ZN8.txt,descriptions/0iBG0F98ZN8.txt
https://www.youtube.com/watch?v=iyzFz7hJ74U,Former Meta CTO Mike Schroepfer (Schrep) On Why the Ocean Could Power Future AI Compute,Type I Summit,2026-01-29,transcripts_raw/iyzFz7hJ74U.txt,descriptions/iyzFz7hJ74U.txt
https://www.youtube.com/watch?v=mSNQApWdtNo,"Unpacking Bitcoin's Underperformance, Vibecoding with Nostr, Prediction Markets",PBJ,2026-01-23,transcripts_raw/mSNQApWdtNo.txt,descriptions/mSNQApWdtNo.txt
https://www.youtube.com/watch?v=gNoES_ygukM,"Unveiling Flint, Michael Saylor on What Bitcoin Did, Comparing Bitcoin Treasuries",PBJ,2026-01-16,transcripts_raw/gNoES_ygukM.txt,descriptions/gNoES_ygukM.txt
https://www.youtube.com/watch?v=bkq5I3wM53c,Crusoe VP Scott Williams On Why Data Centers Can't Go Off-Grid (Yet),Type I Summit,2026-01-15,transcripts_raw/bkq5I3wM53c.txt,descriptions/bkq5I3wM53c.txt
